year,fips,pop2020,pop2024,state,stateCode,growthSince2020,name,county,slug,landArea,density,rank,densityMi,areaMi,white%,AdjacentCounties,AdjacentCodes
2024,17029,46760,45774,Illinois,IL,-0.021086399,Coles County,Coles County,illinois/coles-county,508,90.10629921259844,31,90.10629921259844,508,91.46,"""Clark County, IL"" 17023 ""Coles County, IL"" 17029 ""Cumberland County, IL"" 17035 ""Douglas County, IL"" 17041 ""Edgar County, IL"" 17045 ""Moultrie County, IL"" 17139 ""Shelby County, IL"" 17173","17023, 17029, 17035, 17041, 17045, 17139, 17173"
2024,17031,5263608,5062578,Illinois,IL,-0.038192434,Cook County,Cook County,illinois/cook-county,945,5357.225396825397,1,5357.225396825397,945,49.39,"""Cook County, IL"" 17031 ""DuPage County, IL"" 17043 ""Kane County, IL"" 17089 ""Lake County, IL"" 17097 ""McHenry County, IL"" 17111 ""Will County, IL"" 17197 ""Lake County, IN"" 18089 ""Porter County, IN"" 18127 ""Berrien County, MI"" 26021","17031, 17043, 17089, 17097, 17111, 17197, 18089, 18127, 26021"
2024,17033,18651,18105,Illinois,IL,-0.02927457,Crawford County,Crawford County,illinois/crawford-county,444,40.77702702702703,59,40.77702702702703,444,92.08,"""Clark County, IL"" 17023 ""Crawford County, IL"" 17033 ""Jasper County, IL"" 17079 ""Lawrence County, IL"" 17101 ""Richland County, IL"" 17159 ""Knox County, IN"" 18083 ""Sullivan County, IN"" 18153","17023, 17033, 17079, 17101, 17159, 18083, 18153"
2024,17035,10433,10214,Illinois,IL,-0.020991086,Cumberland County,Cumberland County,illinois/cumberland-county,346,29.52023121387284,87,29.52023121387284,346,96.23,"""Clark County, IL"" 17023 ""Coles County, IL"" 17029 ""Cumberland County, IL"" 17035 ""Effingham County, IL"" 17049 ""Jasper County, IL"" 17079 ""Shelby County, IL"" 17173","17023, 17029, 17035, 17049, 17079, 17173"
2024,17039,15461,15365,Illinois,IL,-0.006209171,De Witt County,De Witt County,illinois/de-witt-county,398,38.60552763819096,70,38.60552763819096,398,95.2,"""De Witt County, IL"" 17039 ""Logan County, IL"" 17107 ""McLean County, IL"" 17113 ""Macon County, IL"" 17115 ""Piatt County, IL"" 17147","17039, 17107, 17113, 17115, 17147"
2024,17037,100269,100353,Illinois,IL,0.000837746,DeKalb County,DeKalb County,illinois/dekalb-county,631,159.03803486529318,19,159.03803486529318,631,79.23,"""Boone County, IL"" 17007 ""DeKalb County, IL"" 17037 ""Kane County, IL"" 17089 ""Kendall County, IL"" 17093 ""LaSalle County, IL"" 17099 ""Lee County, IL"" 17103 ""McHenry County, IL"" 17111 ""Ogle County, IL"" 17141 ""Winnebago County, IL"" 17201","17007, 17037, 17089, 17093, 17099, 17103, 17111, 17141, 17201"
2024,17041,19764,19591,Illinois,IL,-0.008753289,Douglas County,Douglas County,illinois/douglas-county,417,46.98081534772182,58,46.98081534772182,417,92.36,"""Champaign County, IL"" 17019 ""Coles County, IL"" 17029 ""Douglas County, IL"" 17041 ""Edgar County, IL"" 17045 ""Moultrie County, IL"" 17139 ""Piatt County, IL"" 17147","17019, 17029, 17041, 17045, 17139, 17147"
2024,17043,931317,920762,Illinois,IL,-0.011333413,DuPage County,DuPage County,illinois/dupage-county,328,2807.201219512195,2,2807.201219512195,328,70,"""Cook County, IL"" 17031 ""DuPage County, IL"" 17043 ""Kane County, IL"" 17089 ""Kendall County, IL"" 17093 ""Will County, IL"" 17197","17031, 17043, 17089, 17093, 17197"
2024,17045,16786,16283,Illinois,IL,-0.029965447,Edgar County,Edgar County,illinois/edgar-county,623,26.136436597110755,64,26.136436597110755,623,96.68,"""Champaign County, IL"" 17019 ""Clark County, IL"" 17023 ""Coles County, IL"" 17029 ""Douglas County, IL"" 17041 ""Edgar County, IL"" 17045 ""Vermilion County, IL"" 17183 ""Vermillion County, IN"" 18165 ""Vigo County, IN"" 18167","17019, 17023, 17029, 17041, 17045, 17183, 18165, 18167"
2024,17047,6208,5878,Illinois,IL,-0.053157216,Edwards County,Edwards County,illinois/edwards-county,222,26.47747747747748,93,26.47747747747748,222,96.15,"""Edwards County, IL"" 17047 ""Richland County, IL"" 17159 ""Wabash County, IL"" 17185 ""Wayne County, IL"" 17191 ""White County, IL"" 17193","17047, 17159, 17185, 17191, 17193"
2024,17049,34703,34362,Illinois,IL,-0.00982624,Effingham County,Effingham County,illinois/effingham-county,479,71.73695198329854,41,71.73695198329854,479,96.56,"""Clay County, IL"" 17025 ""Cumberland County, IL"" 17035 ""Effingham County, IL"" 17049 ""Fayette County, IL"" 17051 ""Jasper County, IL"" 17079 ""Shelby County, IL"" 17173","17025, 17035, 17049, 17051, 17079, 17173"
2024,17051,21490,21058,Illinois,IL,-0.020102373,Fayette County,Fayette County,illinois/fayette-county,716,29.410614525139664,54,29.410614525139664,716,90.22,"""Bond County, IL"" 17005 ""Clay County, IL"" 17025 ""Clinton County, IL"" 17027 ""Effingham County, IL"" 17049 ""Fayette County, IL"" 17051 ""Marion County, IL"" 17121 ""Montgomery County, IL"" 17135 ""Shelby County, IL"" 17173","17005, 17025, 17027, 17049, 17051, 17121, 17135, 17173"
2024,17053,13513,13244,Illinois,IL,-0.019906756,Ford County,Ford County,illinois/ford-county,486,27.25102880658436,78,27.25102880658436,486,91.87,"""Champaign County, IL"" 17019 ""Ford County, IL"" 17053 ""Iroquois County, IL"" 17075 ""Kankakee County, IL"" 17091 ""Livingston County, IL"" 17105 ""McLean County, IL"" 17113 ""Vermilion County, IL"" 17183","17019, 17053, 17075, 17091, 17105, 17113, 17183"
2024,17055,37697,37061,Illinois,IL,-0.016871369,Franklin County,Franklin County,illinois/franklin-county,409,90.61369193154034,35,90.61369193154034,409,95.55,"""Franklin County, IL"" 17055 ""Hamilton County, IL"" 17065 ""Jackson County, IL"" 17077 ""Jefferson County, IL"" 17081 ""Perry County, IL"" 17145 ""Saline County, IL"" 17165 ""Williamson County, IL"" 17199","17055, 17065, 17077, 17081, 17145, 17165, 17199"
2024,17057,33487,32147,Illinois,IL,-0.040015528,Fulton County,Fulton County,illinois/fulton-county,866,37.121247113163975,45,37.121247113163975,866,93.23,"""Fulton County, IL"" 17057 ""Knox County, IL"" 17095 ""McDonough County, IL"" 17109 ""Mason County, IL"" 17125 ""Peoria County, IL"" 17143 ""Schuyler County, IL"" 17169 ""Tazewell County, IL"" 17179 ""Warren County, IL"" 17187","17057, 17095, 17109, 17125, 17143, 17169, 17179, 17187"
2024,17059,4935,4517,Illinois,IL,-0.084701114,Gallatin County,Gallatin County,illinois/gallatin-county,323,13.98452012383901,99,13.98452012383901,323,94.08,"""Gallatin County, IL"" 17059 ""Hamilton County, IL"" 17065 ""Hardin County, IL"" 17069 ""Saline County, IL"" 17165 ""White County, IL"" 17193 ""Posey County, IN"" 18129 ""Union County, KY"" 21225","17059, 17065, 17069, 17165, 17193, 18129, 21225"
2024,17061,11936,11446,Illinois,IL,-0.041052279,Greene County,Greene County,illinois/greene-county,543,21.079189686924494,85,21.079189686924494,543,96.7,"""Calhoun County, IL"" 17013 ""Greene County, IL"" 17061 ""Jersey County, IL"" 17083 ""Macoupin County, IL"" 17117 ""Morgan County, IL"" 17137 ""Pike County, IL"" 17149 ""Scott County, IL"" 17171","17013, 17061, 17083, 17117, 17137, 17149, 17171"
